Movie,OverseasWeekend
The Avengers,185100000
Iron Man 2,92643790
Iron Man,99055472
Thor,5735973
Captain America: The First Avenger,2915627
The Incredible Hulk,30766138
Avengers: Age of Ultron,201200000
Iron Man 3,198400000
Guardians of the Galaxy,66400000
Captain America: The Winter Soldier,75200000
Thor: The Dark World,109400000
Ant-Man,56400000
Avengers: Infinity War,382823108
Black Panther,169363580
Captain America: Civil War,200400000
Captain Marvel,303285175
Spider-Man: Homecoming,139508350
Guardians of the Galaxy Vol. 2,106012648
Thor: Ragnarok,109086216
Doctor Strange,87745399
Ant-Man and the Wasp,85891514
