Movie,Directed by,Produced by,Screenplay by,Story by,Based on,Starring,Music by,Cinematography,Edited by,Production company,Distributed by,Release date,Running time,Country,Language,Budget,Box office
Iron Man,Jon Favreau,"Avi Arad, Kevin Feige","Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway",N/A,Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow",Ramin Djawadi,Matthew Libatique,Dan Lebental,"Marvel Studios, Fairview Entertainment",Paramount Pictures,"April 14, 2008, May 2, 2008",126 minutes,United States,English,$140 million,$585.2 million
The Incredible Hulk,Louis Leterrier,"Avi Arad, Gale Anne Hurd, Kevin Feige",Zak Penn,N/A,Hulk,"Edward Norton, Liv Tyler, Tim Roth, Tim Blake Nelson, Ty Burrell, William Hurt",Craig Armstrong,Peter Menzies Jr.,"John Wright, Rick Shaine, Vincent Tabaillon","Marvel Studios, Valhalla Motion Pictures",Universal Pictures,"June 8, 2008, June 13, 2008",112 minutes,United States,English,$150 million,$263.4 million
Iron Man 2,Jon Favreau,Kevin Feige,Justin Theroux,N/A,Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell, Mickey Rourke, Samuel L. Jackson",John Debney,Matthew Libatique,"Dan Lebental, Richard Pearson","Marvel Studios, Fairview Entertainment",Paramount Pictures,"April 26, 2010, May 7, 2010",125 minutes,United States,English,$200 million,$623.9 million
Thor,Kenneth Branagh,Kevin Feige,"Ashley Edward Miller, Zack Stentz, Don Payne","J. Michael Straczynski, Mark Protosevich",Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Colm Feore, Ray Stevenson, Idris Elba, Kat Dennings, Rene Russo, Anthony Hopkins",Patrick Doyle,Haris Zambarloukos,Paul Rubell,Marvel Studios ,Paramount Pictures,"April 17, 2011, May 6, 2011",114 minutes,United States,English,$150 million,$449.3 million
Captain America: The First Avenger,Joe Johnston,Kevin Feige,Christopher Markus Stephen Mc Feely,N/A,Captain Americaby Joe Simon Jack Kirby,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper, Neal Mc, Donough, Derek Luke, Stanley Tucci",Alan Silvestri,Shelly Johnson,"Jeffrey Ford, Robert Dalva",Marvel Studios ,Paramount Pictures,"July 19, 2011, July 22, 2011",124 minutes,United States,English,$140–216.7 million,$370.6 million
The Avengers,Joss Whedon,Kevin Feige,Joss Whedon,"Zak Penn, Joss Whedon",The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson",Alan Silvestri,Seamus Mc Garvey,"Jeffrey Ford, Lisa Lassek",Marvel Studios ,Walt Disney Studios Motion Pictures,"April 11, 2012, May 4, 2012",143 minutes,United States,English,$220 million,$1.519 billion
Iron Man 3,Shane Black,Kevin Feige,"Drew Pearce, Shane Black",N/A,Iron Man,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Stéphanie Szostak, James Badge Dale, Jon Favreau, Ben Kingsley",Brian Tyler,John Toll,"Jeffrey Ford, Peter S. Elliot",Marvel Studios ,Walt Disney Studios Motion Pictures1,"April 14, 2013, May 3, 2013",131 minutes,United States,English,$200 million,$1.215 billion
Thor: The Dark World,Alan Taylor,Kevin Feige,"Christopher Yost, Stephen Mc, Feely, Christopher Markus","Don Payne, Robert Rodat",Thor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård, Idris Elba, Christopher Eccleston, Adewale Akinnuoye-Agbaje, Kat Dennings, Ray Stevenson, Zachary Levi, Tadanobu Asano, Jaimie Alexander, Rene Russo",Brian Tyler,Kramer Morgenthau,"Dan Lebental, Wyatt Smith",Marvel Studios ,Walt Disney Studios Motion Pictures,"October 22, 2013, November 8, 2013",112 minutes,United States,English,"$170-272 million, $152.7 million",$644.6 million
Captain America: The Winter Soldier,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen Mc, Feely",N/A,Captain America,"Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders, Frank Grillo, Emily Van, Camp, Hayley Atwell, Robert Redford, Samuel L. Jackson",Henry Jackman,Trent Opaloch,"Jeffrey Ford, Matthew Schmidt",Marvel Studios ,Walt Disney Studios Motion Pictures,"March 13, 2014, April 4, 2014",136 minutes,United States,English,$177 million,$714.3 million
Guardians of the Galaxy,James Gunn,Kevin Feige,"James Gunn, Nicole Perlman",N/A,Guardians of the Galaxy,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, John C. Reilly, Glenn Close, Benicio del Toro",Tyler Bates,Ben Davis,"Fred Raskin, Craig Wood, Hughes Winborne",Marvel Studios ,Walt Disney Studios Motion Pictures,"July 21, 2014, August 1, 2014",122 minutes,United States,English,"$232.3 million, $195.9 million",$773.3 million
Avengers: Age of Ultron,Joss Whedon,Kevin Feige,Joss Whedon,N/A,The Avengers,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Stellan Skarsgård, James Spader, Samuel L. Jackson","Brian Tyler, Danny Elfman",Ben Davis,"Jeffrey Ford, Lisa Lassek",Marvel Studios ,Walt Disney Studios Motion Pictures,"April 13, 2015, May 1, 2015",141 minutes,United States,English,"$444-495.2 million, $365.5 million",$1.405 billion
Ant-Man,Peyton Reed,Kevin Feige,"Edgar Wright, Joe Cornish, Adam Mc, Kay, Paul Rudd","Edgar Wright, Joe Cornish",Ant-Man,"Paul Rudd, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Michael Peña, Tip ""T.I."" Harris, Anthony Mackie, Wood Harris, Judy Greer, David Dastmalchian, Michael Douglas",Christophe Beck,Russell Carpenter,"Dan Lebental, Colby Parker, Jr.",Marvel Studios ,Walt Disney Studios Motion Pictures,"June 29, 2015, July 17, 2015",117 minutes,United States,English,$130–169.3 million,$519.3 million
Captain America: Civil War,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen Mc, Feely",N/A,Captain America,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Emily Van, Camp, Tom Holland, Frank Grillo, William Hurt, Daniel Brühl",Henry Jackman,Trent Opaloch,"Jeffrey Ford, Matthew Schmidt",Marvel Studios ,Walt Disney Studios Motion Pictures,"April 12, 2016, May 6, 2016",147 minutes,United States,English,"$250 million, $230 million",$1.153 billion
Doctor Strange,Scott Derrickson,Kevin Feige,"Jon Spaihts, Scott Derrickson, C. Robert Cargill",N/A,Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel Mc, Adams, Benedict Wong, Michael Stuhlbarg, Benjamin Bratt, Scott Adkins, Mads Mikkelsen, Tilda Swinton",Michael Giacchino,Ben Davis,"Wyatt Smith, Sabrina Plisco",Marvel Studios ,Walt Disney Studios Motion Pictures,"October 13, 2016, November 4, 2016",115 minutes,United States,English,$165–236.6 million,$677.7 million
Guardians of the Galaxy Vol. 2,James Gunn,Kevin Feige,James Gunn,N/A,Guardians of the Galaxy,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Sylvester Stallone, Kurt Russell",Tyler Bates,Henry Braham,"Fred Raskin, Craig Wood",Marvel Studios ,Walt Disney Studios Motion Pictures,"April 10, 2017, May 5, 2017",137 minutes,United States,English,$200 million,$863.8 million
Spider-Man: Homecoming,Jon Watts,"Kevin Feige, Amy Pascal","Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris Mc, Kenna, Erik Sommers","Jonathan Goldstein, John Francis Daley",Spider-Man,"Tom Holland, Michael Keaton, Jon Favreau, Zendaya, Donald Glover, Tyne Daly, Marisa Tomei, Robert Downey Jr.",Michael Giacchino,Salvatore Totino,"Dan Lebental, Debbie Berman","Columbia Pictures, Marvel Studios, Pascal Pictures",Sony Pictures Releasing,"June 28, 2017, July 7, 2017",133 minutes,United States,English,$175 million,$880.2 million
Thor: Ragnarok,Taika Waititi,Kevin Feige,"Eric Pearson, Craig Kyle, Christopher L. Yost",N/A,Thor,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins",Mark Mothersbaugh,Javier Aguirresarobe,"Joel Negron, Zene Baker",Marvel Studios ,Walt Disney Studios Motion Pictures,"October 10, 2017, November 3, 2017",130 minutes,United States,English,$180 million,$854 million
Black Panther,Ryan Coogler,Kevin Feige,"Ryan Coogler, Joe Robert Cole",N/A,Black Panther,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",Ludwig Göransson,Rachel Morrison,"Michael P. Shawver, Debbie Berman",Marvel Studios ,Walt Disney Studios Motion Pictures,"January 29, 2018, February 16, 2018",134 minutes,United States,English,$200–210 million,$1.347 billion
